approach,policy,mean_estimate,rmse,std,true_value
standard_is,State-Optimal,0.8659053565323876,0.044183347214690555,0.044176787773369704,0.8666666666666667
standard_is,Uniform,0.45894984614441064,0.00924055697783265,0.00918069006884355,0.46
standard_is,Suboptimal,0.5950479752916965,0.031370412640078046,0.030977092189182636,0.6
standard_is_imputed,State-Optimal,0.8651599068315017,0.011193815015470286,0.01109194164245834,0.8666666666666667
standard_is_imputed,Uniform,0.459473886114519,0.007384902043871788,0.007366137548069935,0.46
standard_is_imputed,Suboptimal,0.6018724702414971,0.009495488278537004,0.009309036085575182,0.6
cstar_is_full,State-Optimal,0.865761633684705,0.005274216808215641,0.0051959867437884775,0.8666666666666667
cstar_is_full,Uniform,0.4597424318010016,0.002547241421693193,0.002534185763367447,0.46
cstar_is_full,Suboptimal,0.6015029191004397,0.005373820950091792,0.005159378429731519,0.6
uniform_random,State-Optimal,,,,0.8666666666666667
uniform_random,Uniform,,,,0.46
uniform_random,Suboptimal,,,,0.6
divergence_prioritized_budget_0_batch_single,State-Optimal,0.8651599068315017,0.011193815015470288,0.01109194164245834,0.8666666666666667
divergence_prioritized_budget_0_batch_single,Uniform,0.459473886114519,0.007384902043871775,0.00736613754806992,0.46
divergence_prioritized_budget_0_batch_single,Suboptimal,0.6018724702414971,0.009495488278536999,0.009309036085575173,0.6
divergence_prioritized_budget_500_batch_single,State-Optimal,0.8655035130756259,0.006544825759954656,0.006440638008133599,0.8666666666666667
divergence_prioritized_budget_500_batch_single,Uniform,0.45988985908697855,0.005987974417761855,0.005986961383460664,0.46
divergence_prioritized_budget_500_batch_single,Suboptimal,0.6019097294147518,0.006261166803380903,0.005962813371403668,0.6
divergence_prioritized_budget_1000_batch_single,State-Optimal,0.8655667312946106,0.005688633747052034,0.005581280864228097,0.8666666666666667
divergence_prioritized_budget_1000_batch_single,Uniform,0.4600343067496777,0.00461680194263154,0.004616674476764947,0.46
divergence_prioritized_budget_1000_batch_single,Suboptimal,0.6015473383494406,0.006018887086938091,0.005816592283946017,0.6
divergence_prioritized_budget_1500_batch_single,State-Optimal,0.8654894681205784,0.005550517563160703,0.005424246381023163,0.8666666666666667
divergence_prioritized_budget_1500_batch_single,Uniform,0.46007764029514475,0.004455794176955642,0.004455117701246698,0.46
divergence_prioritized_budget_1500_batch_single,Suboptimal,0.6013884245488895,0.006200236703310528,0.0060427818468913805,0.6
divergence_prioritized_budget_2000_batch_single,State-Optimal,0.8653899478441833,0.005645631995223095,0.005499377207812118,0.8666666666666667
divergence_prioritized_budget_2000_batch_single,Uniform,0.460149657499235,0.0044035695607672854,0.004401025733785129,0.46
divergence_prioritized_budget_2000_batch_single,Suboptimal,0.6018702642916591,0.006183381760413678,0.005893752749680069,0.6
divergence_prioritized_budget_3000_batch_single,State-Optimal,0.8653769951596983,0.005867611942727545,0.005724125899607104,0.8666666666666667
divergence_prioritized_budget_3000_batch_single,Uniform,0.4598857634925864,0.003104747858661898,0.0031026455302273245,0.46
divergence_prioritized_budget_3000_batch_single,Suboptimal,0.6014611570384498,0.006272424692669693,0.006099863247172117,0.6
